video_time_s,solver_step,currently_at_goal,total_agents
22.900000,687,269708,1000000
22.933333,688,270028,1000000
22.966667,689,273896,1000000
23.000000,690,275189,1000000
23.033333,691,276409,1000000
23.066667,692,279192,1000000
23.100000,693,280590,1000000
23.133333,694,282227,1000000
23.166667,695,284454,1000000
23.200000,696,286371,1000000
23.233333,697,287825,1000000
23.266667,698,289484,1000000
23.300000,699,292085,1000000
23.333333,700,293557,1000000
23.366667,701,295796,1000000
23.400000,702,296888,1000000
23.433333,703,299945,1000000
23.466667,704,300522,1000000
23.500000,705,303166,1000000
23.533333,706,304975,1000000
23.566667,707,306490,1000000
23.600000,708,309047,1000000
23.633333,709,310869,1000000
23.666667,710,313091,1000000
23.700000,711,313726,1000000
23.733333,712,317254,1000000
23.766667,713,317354,1000000
23.800000,714,321018,1000000
23.833333,715,320561,1000000
23.866667,716,323819,1000000
23.900000,717,323373,1000000
23.933333,718,326217,1000000
23.966667,719,327475,1000000
24.000000,720,329715,1000000
24.033333,721,331607,1000000
24.066667,722,331799,1000000
24.100000,723,334402,1000000
24.133333,724,336663,1000000
24.166667,725,337105,1000000
24.200000,726,339518,1000000
24.233333,727,340649,1000000
24.266667,728,344269,1000000
24.300000,729,344192,1000000
24.333333,730,347261,1000000
24.366667,731,348913,1000000
24.400000,732,351148,1000000
24.433333,733,352051,1000000
24.466667,734,356220,1000000
24.500000,735,357740,1000000
24.533333,736,359566,1000000
24.566667,737,360877,1000000
24.600000,738,364959,1000000
24.633333,739,366580,1000000
24.666667,740,369707,1000000
24.700000,741,370412,1000000
24.733333,742,376401,1000000
24.766667,743,376190,1000000
24.800000,744,380837,1000000
24.833333,745,382241,1000000
24.866667,746,385933,1000000
24.900000,747,388350,1000000
24.933333,748,391897,1000000
24.966667,749,394894,1000000
25.000000,750,397599,1000000
25.033333,751,400392,1000000
25.066667,752,403446,1000000
25.100000,753,405028,1000000
25.133333,754,408905,1000000
25.166667,755,412900,1000000
25.200000,756,415209,1000000
25.233333,757,418782,1000000
25.266667,758,420917,1000000
25.300000,759,425220,1000000
25.333333,760,427308,1000000
25.366667,761,432694,1000000
25.400000,762,433777,1000000
25.433333,763,440393,1000000
25.466667,764,442802,1000000
25.500000,765,447549,1000000
25.533333,766,449554,1000000
25.566667,767,456031,1000000
25.600000,768,456776,1000000
25.633333,769,464901,1000000
25.666667,770,466391,1000000
25.700000,771,473620,1000000
25.733333,772,477836,1000000
25.766667,773,483977,1000000
25.800000,774,487362,1000000
25.833333,775,495343,1000000
25.866667,776,500133,1000000
25.900000,777,508093,1000000
25.933333,778,513745,1000000
25.966667,779,522730,1000000
26.000000,780,530129,1000000
26.033333,781,538409,1000000
26.066667,782,548768,1000000
26.100000,783,555821,1000000
26.133333,784,567523,1000000
26.166667,785,576096,1000000
26.200000,786,586039,1000000
26.233333,787,596319,1000000
26.266667,788,607991,1000000
26.300000,789,617110,1000000
26.333333,790,628488,1000000
26.366667,791,636848,1000000
26.400000,792,648920,1000000
26.433333,793,658345,1000000
26.466667,794,668730,1000000
26.500000,795,675872,1000000
26.533333,796,685815,1000000
26.566667,797,692345,1000000
26.600000,798,701030,1000000
26.633333,799,707061,1000000
26.666667,800,716776,1000000
26.700000,801,723140,1000000
26.733333,802,731418,1000000
26.766667,803,736498,1000000
26.800000,804,744683,1000000
26.833333,805,748736,1000000
26.866667,806,754880,1000000
26.900000,807,760253,1000000
26.933333,808,764816,1000000
26.966667,809,769807,1000000
27.000000,810,774005,1000000
27.033333,811,778676,1000000
27.066667,812,784369,1000000
27.100000,813,788387,1000000
27.133333,814,792829,1000000
27.166667,815,797973,1000000
27.200000,816,801573,1000000
27.233333,817,806663,1000000
27.266667,818,813572,1000000
27.300000,819,818687,1000000
27.333333,820,824229,1000000
27.366667,821,829559,1000000
27.400000,822,834549,1000000
27.433333,823,839528,1000000
27.466667,824,844781,1000000
27.500000,825,849703,1000000
27.533333,826,855403,1000000
27.566667,827,859129,1000000
27.600000,828,864467,1000000
27.633333,829,867078,1000000
27.666667,830,872555,1000000
27.700000,831,874980,1000000
27.733333,832,879352,1000000
27.766667,833,881850,1000000
27.800000,834,886580,1000000
27.833333,835,888658,1000000
27.866667,836,894568,1000000
27.900000,837,895678,1000000
27.933333,838,899839,1000000
27.966667,839,903725,1000000
28.000000,840,907373,1000000
28.033333,841,910452,1000000
28.066667,842,914984,1000000
28.100000,843,918654,1000000
28.133333,844,922397,1000000
28.166667,845,926774,1000000
28.200000,846,930382,1000000
28.233333,847,934411,1000000
28.266667,848,937909,1000000
28.300000,849,941958,1000000
28.333333,850,944541,1000000
28.366667,851,949018,1000000
28.400000,852,952053,1000000
28.433333,853,956047,1000000
28.466667,854,958998,1000000
28.500000,855,962475,1000000
28.533333,856,965337,1000000
28.566667,857,967908,1000000
28.600000,858,970706,1000000
28.633333,859,972945,1000000
28.666667,860,976183,1000000
28.700000,861,978049,1000000
28.733333,862,980432,1000000
28.766667,863,982998,1000000
28.800000,864,984462,1000000
28.833333,865,987322,1000000
28.866667,866,989351,1000000
28.900000,867,991406,1000000
28.933333,868,992696,1000000
28.966667,869,994429,1000000
29.000000,870,995694,1000000
29.033333,871,996758,1000000
29.066667,872,998105,1000000
29.100000,873,998971,1000000
29.133333,874,999393,1000000
29.166667,875,999796,1000000
29.200000,876,999902,1000000
29.233333,877,1000000,1000000
